,LOG_LIQ,EDUC,LOG_INCOME,HHOUSES,AGE,FINLIT,EMERGSAV,KIDS,MARRIED,OCCAT1,YESFINRISK,LOG_DEBT,SPENDMOR,LATE,LOG_RET_ASSETS
18950,11.289794413577894,13,11.144457783705516,1,81,3,1,0,2,3,0,0.0,3,0,14.763300344494624
18955,12.00762780434872,12,12.669143159145959,1,60,3,1,1,1,1,0,11.127277689932466,4,0,13.918068048816036
18960,5.707110264748875,8,10.16365262239305,0,27,2,1,0,2,1,0,4.795790545596741,5,0,5.707110264748875
18965,7.340835554123275,10,11.686049021222916,0,50,2,0,0,1,1,0,11.944064817531656,4,0,12.618321359534956
18970,8.987321812850125,13,11.704067376563522,1,71,3,1,0,1,2,0,0.0,5,0,14.02089820202114
18975,7.438971592395862,8,10.936821754744528,0,53,0,0,0,1,4,0,0.0,5,0,7.438971592395862
18980,7.791935956938058,11,10.87739942351305,0,23,1,0,1,1,1,0,8.802522498284421,3,0,7.791935956938058
18985,13.219854812903453,9,15.102276146044932,1,66,2,0,1,1,2,0,0.0,4,0,15.331121410228201
18990,12.832013750189885,12,15.179789805452149,1,68,3,1,0,1,2,0,0.0,4,0,16.1865017770105
18995,11.918397239722838,10,11.853101811967846,1,37,1,0,0,2,2,1,11.794345471549745,2,0,12.409017571151187
19000,10.373522431293592,13,17.962051653579064,0,82,2,1,0,1,3,0,0.0,4,0,16.04896001928162
19005,4.61512051684126,8,11.262239213240827,0,44,1,0,0,1,1,0,6.68586094706836,3,0,4.61512051684126
19010,13.161586013632684,12,13.165578814129656,1,60,3,1,0,1,2,0,11.6172944892629,2,0,14.045829107307345
19015,0.0,9,9.69367212060944,1,59,1,0,0,2,3,0,8.131824785007195,4,1,0.0
19020,2.3978952727983707,12,9.930047914868675,0,50,2,0,2,2,1,0,9.642187721358466,1,1,2.3978952727983707
19025,9.61587214452889,9,12.278869718770531,1,67,2,1,1,2,3,0,10.778977123006351,4,0,14.516130249640712
19030,12.715900771961074,13,0.0,0,50,3,1,0,1,3,1,12.128116509451258,2,0,16.20252879883646
19035,13.598598798635953,12,14.51389250917311,1,75,3,1,0,1,2,0,0.0,5,0,14.535786892530359
19040,0.0,8,9.137430017527388,0,65,1,0,0,2,3,0,0.0,1,0,0.0
19045,13.304686600863562,12,14.503081598461785,1,64,3,1,0,1,1,0,0.0,1,0,16.168788860330867
19050,10.474495347310453,12,12.605964462765131,1,76,3,1,0,1,3,0,13.120363378739663,4,0,12.786613679689001
19055,0.6931471805599453,8,9.550580764956187,0,30,1,0,1,2,1,1,6.447305862541213,1,1,0.6931471805599453
19060,14.994258165401996,12,12.097553606596385,1,74,2,1,0,1,3,0,0.0,4,0,15.114966527131761
19065,10.604131561522696,12,11.528864869228297,1,37,3,1,0,1,1,0,12.650761671914688,5,0,13.845361550523778
19070,10.373834872713369,12,11.639529406064158,0,28,2,1,0,2,1,0,8.24301946898925,3,0,10.636119834372657
19075,10.950824090522445,12,11.805849271474132,1,40,3,1,0,2,1,0,12.928781055513184,2,0,11.767575435251748
19080,4.795790545596741,8,9.470543987306165,1,67,2,0,0,2,3,0,0.0,4,0,4.795790545596741
19085,9.619199713152362,10,11.367598443988374,0,42,3,0,2,1,1,0,8.152198015861787,5,0,11.653130787298837
19090,8.787372988731876,9,11.955379969271414,1,52,3,0,1,1,1,0,12.643039650666653,4,0,14.869289693159468
19095,8.987321812850125,10,11.658397725704077,1,39,3,0,1,1,2,0,13.111708818640885,4,0,11.19822841866684
19100,10.064798252418377,9,11.234068703381137,0,30,2,0,0,2,1,1,9.305741456739435,3,1,10.518700218288165
19105,5.484796933490655,8,10.243692364956795,0,47,1,0,2,2,4,0,8.281723990411392,3,0,5.484796933490655
19110,8.006700845440367,9,11.159961747859198,0,57,1,1,0,2,4,0,7.496097345175956,4,0,10.87806606028079
19115,8.881975184248867,12,11.649008066953392,0,39,1,0,0,1,1,1,10.821596630217067,3,0,9.036106025364846
19120,10.308985993422082,14,13.121127138635973,1,61,3,1,1,1,2,0,13.366878520624217,5,0,14.874342323481388
19125,14.31325155008416,12,14.586463167185212,1,68,3,1,0,1,2,0,12.873904582205107,4,0,16.370798082183974
19130,8.071218539969863,12,9.98133877479715,1,22,2,0,0,2,2,0,7.313886831633462,5,0,12.622151230897948
19135,15.150643458111471,14,15.732276741838536,1,52,3,1,2,1,2,0,13.66585094484938,3,0,17.65033931666598
19140,11.373674891823535,13,11.30306069379871,1,64,2,1,0,2,1,0,0.0,3,0,13.60108018640869
19145,8.101980731853192,6,10.74678187553037,1,89,2,0,0,1,3,0,0.0,4,0,11.900233391293936
19150,7.901377353792616,10,10.623170750425082,0,46,3,1,0,2,1,0,0.0,5,0,11.166214996056205
19155,9.961803629358965,11,11.920040833915293,0,30,2,1,0,1,2,0,10.810959513102064,3,0,11.1154434073529
19160,12.901519679398886,10,12.715663031744286,1,67,3,1,0,1,3,0,0.0,3,0,15.103067146790405
19165,8.895766604056085,9,10.792243293398966,1,40,1,0,2,1,1,0,12.996779746057468,4,0,8.895766604056085
19170,12.587248476364008,13,15.219010508784862,1,53,3,1,4,1,2,0,16.440179222591198,3,0,18.10751402566801
19175,10.799595985047786,9,11.128709656194046,1,38,3,0,1,1,2,0,12.34104487465108,5,0,10.799595985047786
