,NETWORTH,INCOME,FIN,NFIN,DEBT,EQUITY,STOCKS,HHOUSES,BUS,RETQLIQ,YESFINRISK,SPENDMOR,LATE,EMERGSAV,LIQ,FINLIT,AGE,EDUC,MARRIED,KIDS,OCCAT1,RET_ASSETS
19020,-1390.0,20537.324649,10,14000.0,15400,0.0,0,0,0,0,0,1,1,0,10,2,50,12,2,2,1,10
19025,1458200.0,215101.45291,1015000,491200.0,48000,1000000.0,0,1,0,1000000,0,4,0,1,15000,2,67,9,2,1,3,2015000
19030,38893000.0,0.0,9462000,29616000.0,185000,6519000.0,2500000,0,26715000,1419000,1,2,0,1,333000,3,50,13,1,0,3,10881000
19035,35789000.0,2010495.992,2055000,33734000.0,0,0.0,0,1,28140000,0,0,5,0,1,805000,3,75,12,1,0,2,2055000
19040,0.0,9295.8416834,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,1,65,8,2,0,3,0
19045,9819000.0,1988877.7555,7470000,2349000.0,0,3575000.0,1600000,1,0,3050000,0,1,0,1,600000,3,64,12,1,0,1,10520000
19050,310100.0,298331.66333,212400,596700.0,499000,53750.0,10000,1,0,145000,0,4,0,1,35400,3,76,12,1,0,3,357400
19055,-629.0,14051.853707,1,0.0,630,0.0,0,0,0,0,1,1,1,0,1,1,30,8,2,1,1,1
19060,4716300.0,179431.36273,3482300,1234000.0,0,0.0,0,1,0,185000,0,4,0,1,3250300,2,74,12,1,0,3,3667300
19065,870700.0,101605.71142,543300,639400.0,312000,308000.0,16000,1,0,487000,0,5,0,1,40300,3,37,12,1,0,1,1030300
19070,54010.0,113495.74148,36810,21000.0,3800,4800.0,0,0,0,4800,0,3,0,1,32010,2,28,12,2,0,1,41610
19075,181000.0,134033.06613,93000,500000.0,412000,28800.0,0,1,0,36000,0,2,0,1,57000,3,40,12,2,0,1,129000
19080,93920.0,12970.941884,120,93800.0,0,0.0,0,1,0,0,0,4,0,0,120,2,67,8,2,0,3,120
19085,74580.0,86472.945892,65050,13000.0,3470,27500.0,0,0,0,50000,0,5,0,0,15050,3,42,10,1,2,1,115050
19090,3250910.0,155651.30261,2437510,1123000.0,309600,216960.0,0,1,0,430960,0,4,0,0,6550,3,52,9,1,1,1,2868470
